ETA,SIGMA,N,mse,esp_neuronal
0.125,2.0,12000,0.046669171022338606,26.30253770958269
0.125,2.0,13000,0.0442347916199451,26.542105677844486
0.125,2.0,14000,0.048805053142920225,26.966560085323362
0.125,2.0,15000,0.04890806397585029,25.92613278426786
0.125,2.0,16000,0.04532393222537104,25.955879864829207
0.125,2.0,17000,0.045581965930992376,26.47356120325705
0.125,2.0,18000,0.04947355594029513,26.213498075502574
0.125,2.0,19000,0.050486496067011756,26.014101901192117
0.125,2.0,20000,0.045527519685268004,26.608024107871017
0.125,2.0,21000,0.04679360259317143,26.1274566661853
0.125,2.0,22000,0.04556313100212966,26.82076405338373
0.125,2.0,23000,0.05131573970282646,26.22017716092502
0.125,2.0,24000,0.041594707598070345,26.852822499208354
0.125,2.0,25000,0.04560724715950768,26.920589575517255
0.125,2.0,26000,0.046513120137567976,26.43035293170353
0.125,2.0,27000,0.05063588252224775,26.547823493603804
0.125,2.0,28000,0.043381762815915104,26.243374744800697
0.125,2.0,29000,0.04280490229301489,26.48159359025087
0.125,2.0,30000,0.04499156026833365,26.705087326579378
0.125,2.0,31000,0.046935558564997155,26.917483265521458
0.125,2.0,32000,0.044979224019973764,25.563849784347195
0.125,2.0,33000,0.04355639691196861,26.137188607416157
0.125,2.0,34000,0.04791992671721894,25.639161565797746
0.125,2.0,35000,0.045982738060437234,26.895481441849476
0.125,2.0,36000,0.0462255411334878,26.59368238413003
0.125,2.0,37000,0.04695889782587159,26.61915396044242
0.125,2.0,38000,0.04527184417783782,26.93200121210391
0.125,2.0,39000,0.045929809434716355,25.702519744751623
0.125,2.0,40000,0.048809366600208196,26.131788689788795
0.125,2.0,41000,0.04970007710050594,26.101108489570038
0.125,2.0,42000,0.04249993452515854,26.831344107441904
0.125,2.0,43000,0.0486100604433134,26.55775349726079
0.125,2.0,44000,0.0523039971073637,26.40643384875191
0.125,2.0,45000,0.0470251156837514,26.03118918503978
0.125,2.0,46000,0.0459243398369408,26.433656404709524
0.125,2.0,47000,0.04595675724005739,26.266778899136348
0.125,2.0,48000,0.044011087062133136,26.38896625335091
0.125,2.0,49000,0.044564985000653146,26.644375745405874
0.125,3.0,1000,0.09692069880436222,22.474418230441668
0.125,3.0,2000,0.1222444067506908,21.64395858383188
0.125,3.0,3000,0.09209456063110799,22.667798147309828
0.125,3.0,4000,0.10488822788783883,22.774380983914245
0.125,3.0,5000,0.10977854737564757,22.291582633487867
0.125,3.0,6000,0.10179971745138601,22.37753272297659
0.125,3.0,7000,0.13383570666073466,21.819611208544128
0.125,3.0,8000,0.10143960144694789,22.465213249507208
0.125,3.0,9000,0.1067513641367381,21.74349980847859
0.125,3.0,10000,0.10826028375378978,21.853324596942045
0.125,3.0,11000,0.09345376952926865,21.243459248030092
0.125,3.0,12000,0.1102956341139802,21.21436633351671
0.125,3.0,13000,0.0956702873387873,22.707405205933213
0.125,3.0,14000,0.1118257667772965,20.96790280126583
0.125,3.0,15000,0.11750688666379318,21.55781436556229
0.125,3.0,16000,0.10800372048489017,21.81499766084099
0.125,3.0,17000,0.10503425876317948,23.226029928737812
0.125,3.0,18000,0.09320920559695686,22.328342521618655
0.125,3.0,19000,0.11720050846278954,22.337403427745727
0.125,3.0,20000,0.09232048126408962,22.379253921732296
0.125,3.0,21000,0.10668923037604877,21.97702691088137
