ETA,SIGMA,N,mse,esp_neuronal
0.125,3.0,39000,0.06734626325881875,19.481598453197005
0.125,3.0,40000,0.072337044983347,18.222925377345124
0.125,3.0,41000,0.07434073812623675,18.81844404645574
0.125,3.0,42000,0.06631896109864514,19.10840619052371
0.125,3.0,43000,0.07479801707562925,18.94355945034755
0.125,3.0,44000,0.06401633866237907,19.357512137214183
0.125,3.0,45000,0.06397720884459603,19.252050135708476
0.125,3.0,46000,0.06315321169979135,18.63442617888295
0.125,3.0,47000,0.07249902497227337,18.875603228668798
0.125,3.0,48000,0.0667097239832192,19.463426015499405
0.125,3.0,49000,0.06585809386705253,19.25437078376489
0.125,4.0,1000,0.11562748135851758,14.771600042137097
0.125,4.0,2000,0.10004660123037676,15.962475866564953
0.125,4.0,3000,0.11636043088250687,14.637796372541263
0.125,4.0,4000,0.10004095135087886,13.98672965546979
0.125,4.0,5000,0.1176259157009286,15.18228839025762
0.125,4.0,6000,0.10649499907141212,14.264083909456497
0.125,4.0,7000,0.11816117242275731,14.891203938243967
0.125,4.0,8000,0.10765997671837688,14.666975332307985
0.125,4.0,9000,0.13325665097408992,15.56684682174597
0.125,4.0,10000,0.12567344451977258,15.008523569970565
0.125,4.0,11000,0.12317536206845436,14.942974102288339
0.125,4.0,12000,0.1251587767936136,15.323856017407069
0.125,4.0,13000,0.11840619048857666,14.062785673768323
0.125,4.0,14000,0.11859001728033976,14.087102076544735
0.125,4.0,15000,0.1128371639109761,13.127135880880175
0.125,4.0,16000,0.12882478742455514,14.168453729000166
0.125,4.0,17000,0.1258284936234547,15.786053784131093
0.125,4.0,18000,0.1233260116310577,14.534873664585056
0.125,4.0,19000,0.10102404936225402,13.674114836943708
0.125,4.0,20000,0.11322398309460514,15.31209120489111
0.125,4.0,21000,0.12367862055245647,14.706921369567528
0.125,4.0,22000,0.10810589238113558,14.343089850835867
0.125,4.0,23000,0.11671806916869976,14.68838565952817
0.125,4.0,24000,0.10593016332819172,15.311801754520289
0.125,4.0,25000,0.12337700480372668,14.126192950301132
0.125,4.0,26000,0.10935983659993503,15.373462769499254
0.125,4.0,27000,0.11886974069889256,15.200558686488023
0.125,4.0,28000,0.11726288679109526,13.316799387079607
0.125,4.0,29000,0.12385959811544178,14.608824242686199
0.125,4.0,30000,0.128744892847398,14.927725499049634
0.125,4.0,31000,0.12263309645139191,13.529468596793993
0.125,4.0,32000,0.1128080135655097,15.548325453295044
0.125,4.0,33000,0.11820910795021598,15.151293566138214
0.125,4.0,34000,0.11368612898847412,14.936764371915674
0.125,4.0,35000,0.10956982196659414,15.159956387695779
0.125,4.0,36000,0.1266330064240602,14.984923625975954
0.125,4.0,37000,0.12881605792532305,15.445279615217682
0.125,4.0,38000,0.11470991550537216,14.791764083548319
0.125,4.0,39000,0.11289694013083983,13.529076212954852
0.125,4.0,40000,0.11990976759411605,14.24617662664812
0.125,4.0,41000,0.13133056800753368,14.58729708265747
0.125,4.0,42000,0.12017332504802133,15.581696777607009
0.125,4.0,43000,0.1147245123275707,15.707270590401288
0.125,4.0,44000,0.1274581484508471,13.604379329055336
0.125,4.0,45000,0.1316278536134036,14.322693608344286
0.125,4.0,46000,0.12564972868186589,14.77964313952501
0.125,4.0,47000,0.0992580967142723,15.13536809331651
0.125,4.0,48000,0.12866831429805922,14.080236786125145
0.125,4.0,49000,0.12353749619794416,14.993588735853729
0.125,0.1,1000,0.008659591974156066,29.971664176090925
0.125,0.1,2000,0.006381992673507884,41.08012134198584
0.125,0.1,3000,0.005961747520067998,51.10142781621824
0.125,0.1,4000,0.00565742701263596,58.123316611990674
0.125,0.1,5000,0.005685703900993665,66.98115558060036
0.125,0.1,6000,0.005447849143814901,72.61358530342154
0.125,0.1,7000,0.005571742427415417,78.96575201095989
0.125,0.1,8000,0.005646905023831236,84.855336098871
0.125,0.1,9000,0.005499842190353925,93.84152809836809
0.125,0.1,10000,0.005508639424069128,103.60447061209506
0.125,0.1,11000,0.005434772419749728,109.197147975473
0.125,0.1,12000,0.005410823888733016,112.21698953651861
0.125,0.1,13000,0.005422902786082912,120.30753213076164
0.125,0.1,14000,0.005446142223731084,126.90849279621439
0.125,0.1,15000,0.005444964449609321,133.70655701728796
0.125,0.1,16000,0.005339360352776558,142.90006422475227
0.125,0.1,17000,0.005329563037090898,146.3679282289212
0.125,0.1,18000,0.005339512002562543,147.31566026778665
0.125,0.1,19000,0.005335270749242371,147.02377876525162
0.125,0.1,20000,0.005386266155556719,144.34561448355007
0.125,0.1,21000,0.005336310467806901,150.22468568205556
0.125,0.1,22000,0.005383823854146216,152.24048883924476
0.125,0.1,23000,0.005320189848644066,154.33433274326885
0.125,0.1,24000,0.005376873587928034,152.1905718441986
0.125,0.1,25000,0.005351257092618472,155.9134974152207
0.125,0.1,26000,0.005166159625789821,162.90676992983168
0.125,0.1,27000,0.005384871883733505,164.45507235547578
0.125,0.1,28000,0.005310122869691224,170.5006480943887
0.125,0.1,29000,0.0052769314127503455,168.91441281655386
0.125,0.1,30000,0.005256743949054836,168.60927510081382
0.125,0.1,31000,0.005285104761038659,171.89462349686417
0.125,0.1,32000,0.005318708860253472,174.83180965791018
0.125,0.1,33000,0.0052898753635457815,174.88373782771555
0.125,0.1,34000,0.005211392721455834,176.27987965812403
0.125,0.1,35000,0.005401529672953546,180.36681416669103
0.125,0.1,36000,0.00534907740468107,185.74841708226478
0.125,0.1,37000,0.0052582611303968315,184.47580247463543
0.125,0.1,38000,0.005303171953321575,185.12129466702558
0.125,0.1,39000,0.00530171370233713,184.49806642382967
0.125,0.1,40000,0.005256256751066559,191.64795027970882
0.125,0.1,41000,0.005281918708139044,192.06999788632444
0.125,0.1,42000,0.0052591738347136825,195.03652386906083
0.125,0.1,43000,0.005259328904499811,191.93882677343206
0.125,0.1,44000,0.0053009419530359175,190.83161272467274
0.125,0.1,45000,0.005187735775707275,190.4335428661182
0.125,0.1,46000,0.005283438522204084,186.78753119204703
0.125,0.1,47000,0.005210742879308286,190.18391815106477
0.125,0.1,48000,0.005228544933009353,190.661701441835
0.125,0.1,49000,0.005226340817744082,190.53301605226616
0.125,0.2,1000,0.006249870675534131,189.61586133615086
0.125,0.2,2000,0.0059790060055525404,191.44255377575627
0.125,0.2,3000,0.005814629620121451,190.90283960767573
0.125,0.2,4000,0.005734742769677021,189.70915640837939
0.125,0.2,5000,0.005728968881002999,187.30807672946048
0.125,0.2,6000,0.005587971947976346,190.8049283415306
0.125,0.2,7000,0.0056521702956863675,189.3283639865675
0.125,0.2,8000,0.005458242339205562,189.4587181110447
0.125,0.2,9000,0.005545369638737149,183.02853326080142
0.125,0.2,10000,0.0054685405391962484,183.83675061046884
0.125,0.2,11000,0.005548655696017521,187.88911890138905
0.125,0.2,12000,0.005495180246360183,186.2736492841543
0.125,0.2,13000,0.005291661181486652,184.3708902342258
0.125,0.2,14000,0.005413154072658532,186.03953454917468
0.125,0.2,15000,0.0054872575455797625,185.39754414822193
0.125,0.2,16000,0.005430301904671194,182.83623944248794
0.125,0.2,17000,0.005341631255364254,185.19954901117097
0.125,0.2,18000,0.005370353925602982,182.85489664427956
0.125,0.2,19000,0.0051536951138013215,185.83837497433512
0.125,0.2,20000,0.005278698766261115,182.36735300635561
0.125,0.2,21000,0.005200267107491431,187.76870648239137
0.125,0.2,22000,0.0053750468225699935,186.52925513797965
0.125,0.2,23000,0.005391596795052176,186.23566808623454
0.125,0.2,24000,0.005338092116165624,189.26954455147083
0.125,0.2,25000,0.005243552747360991,188.73914223296754
0.125,0.2,26000,0.005247879217205392,186.7095810009224
0.125,0.2,27000,0.005254376759356924,192.1033069102003
0.125,0.2,28000,0.00526103648636141,191.15399609206187
0.125,0.2,29000,0.005214823111606694,190.16453443205097
0.125,0.2,30000,0.0053660672708307185,194.01350669145816
0.125,0.2,31000,0.005314170463505547,191.5026487652238
0.125,0.2,32000,0.005286285407619032,190.87596915160495
0.125,0.2,33000,0.005324018732162188,187.1838246648673
0.125,0.2,34000,0.005251721189285122,182.06798344396853
0.125,0.2,35000,0.005186589782979109,183.97060611179057
0.125,0.2,36000,0.005350252052626106,179.52629985576286
0.125,0.2,37000,0.005363663800981942,179.5823335181781
0.125,0.2,38000,0.00509583916812202,184.59507982670974
0.125,0.2,39000,0.005257031277914231,185.97363915673805
0.125,0.2,40000,0.0052834837508153555,186.7844909128448
0.125,0.2,41000,0.005283931710614601,183.15108778188798
0.125,0.2,42000,0.005313493404769994,184.02022579866764
0.125,0.2,43000,0.005180465359589405,181.45988222967037
0.125,0.2,44000,0.005246155858131264,184.36436845834595
0.125,0.2,45000,0.005320539953838144,185.45185150962635
0.125,0.2,46000,0.005287368849680624,187.15188192114397
0.125,0.2,47000,0.005287259077711345,188.60701779962767
0.125,0.2,48000,0.005342398186551657,190.85425517553486
0.125,0.2,49000,0.0051045335962574285,198.78352206499565
0.125,0.3,1000,0.006438127644161187,176.30187693402397
0.125,0.3,2000,0.006666268665384125,161.09115510260946
0.125,0.3,3000,0.006628310015212199,152.89395624513062
0.125,0.3,4000,0.0063448027072694506,146.12078763757913
0.125,0.3,5000,0.00610840242021859,134.66642179313206
