ETA,SIGMA,N,mse,esp_neuronal
0.125,2.0,40000,0.037694667242504074,25.331533801264378
0.125,2.0,41000,0.039204585774073236,25.094846953820614
0.125,2.0,42000,0.03814925222090778,25.2592321895251
0.125,2.0,43000,0.037415911104457654,25.513341395469613
0.125,2.0,44000,0.03774484197268002,25.423746067409464
0.125,2.0,45000,0.03946260908625784,25.054175750821223
0.125,2.0,46000,0.036892325293712155,25.402293005951087
0.125,2.0,47000,0.03904544183017852,25.25467222086902
0.125,2.0,48000,0.03791948315505785,25.263493844737376
0.125,2.0,49000,0.038159606029782356,25.433132302636032
0.125,3.0,1000,0.07963315082053575,20.701762033257765
0.125,3.0,2000,0.09275263097984915,20.070520235943945
0.125,3.0,3000,0.0751575411505588,21.382266097139706
0.125,3.0,4000,0.08280075728871872,20.825374709085814
0.125,3.0,5000,0.08809931918990496,20.146760723211422
0.125,3.0,6000,0.08098155187930518,20.65261546484463
0.125,3.0,7000,0.09159071386519468,20.04972879738535
0.125,3.0,8000,0.08091878932521626,20.81644035312243
0.125,3.0,9000,0.08893606691527292,19.877246662236196
0.125,3.0,10000,0.08744101878635172,20.324479951344735
0.125,3.0,11000,0.08530434499978755,20.26010297325515
0.125,3.0,12000,0.0880640237382338,19.999005160186243
0.125,3.0,13000,0.08286248886029988,20.669082330939872
0.125,3.0,14000,0.09140361166572185,19.90723778323996
0.125,3.0,15000,0.09253823909552095,19.99112427528329
0.125,3.0,16000,0.08498460354525336,20.233167138622044
0.125,3.0,17000,0.08290654735618111,20.761165921723517
0.125,3.0,18000,0.07952070372506458,20.708219757955522
0.125,3.0,19000,0.08697639085522926,20.16947515793744
0.125,3.0,20000,0.08007746080663526,20.844622790488387
0.125,3.0,21000,0.08329075937222415,20.573750562371707
0.125,3.0,22000,0.08269453683592878,20.64495305803866
0.125,3.0,23000,0.08133607375908866,20.71899443088491
0.125,3.0,24000,0.07783895527367543,21.22554009070445
0.125,3.0,25000,0.08922324855753508,20.074806223659987
0.125,3.0,26000,0.08293243436851805,20.68532457691496
0.125,3.0,27000,0.08552133355840132,20.235211324702203
0.125,3.0,28000,0.08273998705267593,20.57337814485564
0.125,3.0,29000,0.07858503129070397,21.22055545576015
0.125,3.0,30000,0.08530078388833524,20.30053226377659
0.125,3.0,31000,0.08577905276214985,20.54678844837691
0.125,3.0,32000,0.08147557720817092,20.7162025674103
0.125,3.0,33000,0.07944714123281997,20.913937886603232
0.125,3.0,34000,0.08868165920542795,20.23731559365964
0.125,3.0,35000,0.07929212724067247,21.13331462118054
0.125,3.0,36000,0.08857424397853544,20.26973621734767
0.125,3.0,37000,0.0908037962791183,20.13508659057987
0.125,3.0,38000,0.07985781751101333,20.786509261848142
0.125,3.0,39000,0.08189136230089698,20.83553690192637
0.125,3.0,40000,0.08879525878457017,20.175974067235067
0.125,3.0,41000,0.08846137794511849,20.27510833132778
0.125,3.0,42000,0.08672341626396228,20.394482300404853
0.125,3.0,43000,0.08668439317741337,20.20728587532313
0.125,3.0,44000,0.08887405777290254,20.3084612784056
0.125,3.0,45000,0.08530369902808149,20.574220957785606
0.125,3.0,46000,0.08193206545342435,20.559158982877292
0.125,3.0,47000,0.08677701736925952,20.1395450840684
0.125,3.0,48000,0.08026756688492612,20.562495269188553
0.125,3.0,49000,0.08771410784175422,20.38104454803187
0.125,4.0,1000,0.14438124350656711,16.712356185464426
0.125,4.0,2000,0.13608157902843698,17.253541589296916
0.125,4.0,3000,0.15045118298206803,16.16071242915532
0.125,4.0,4000,0.1389578325206573,16.82655550876921
0.125,4.0,5000,0.1394980158051693,17.17041810447705
0.125,4.0,6000,0.14315370906370167,16.82831367749113
0.125,4.0,7000,0.14190993585434702,16.614715813545477
0.125,4.0,8000,0.1434955226786723,16.855066162734595
0.125,4.0,9000,0.14638451105175737,16.520357912935467
0.125,4.0,10000,0.15489063715194193,16.10388174566378
0.125,4.0,11000,0.14306301430627208,16.616880468750594
0.125,4.0,12000,0.1446341701604589,16.464927230125287
0.125,4.0,13000,0.15180568775785286,16.058032162272024
0.125,4.0,14000,0.15361415451826127,16.234146907175642
0.125,4.0,15000,0.14360561824344406,16.378901095475413
0.125,4.0,16000,0.15378066339585134,15.945579643651854
0.125,4.0,17000,0.14063675570884066,16.615677574638486
0.125,4.0,18000,0.1483683939966997,16.18928860814462
0.125,4.0,19000,0.15221031780828514,16.229111775491738
0.125,4.0,20000,0.14077429847696474,16.795367301600734
0.125,4.0,21000,0.1522973828454371,16.17641996762229
0.125,4.0,22000,0.14730752156504942,16.431738545931744
0.125,4.0,23000,0.1454375834529072,16.53033906389739
0.125,4.0,24000,0.1380959888563154,17.202572444675095
0.125,4.0,25000,0.15079884543600017,16.30865013191092
0.125,4.0,26000,0.14155586212668766,16.770981785544073
0.125,4.0,27000,0.14175102089769248,16.722544047588784
0.125,4.0,28000,0.14679867202485003,16.28724761759242
0.125,4.0,29000,0.14898041879312485,16.31523772438357
0.125,4.0,30000,0.14705408965517638,16.516361083799627
0.125,4.0,31000,0.16008863581850435,15.693227980691352
