ETA,SIGMA,N,esp_neuronal
0.5,3.0,600,0.09237244294092524,21.944355093554094
0.5,3.0,700,0.07444860712177591,22.84660199235891
0.5,3.0,800,0.07830673396015783,23.077761022552444
0.5,3.0,900,0.12676140043602716,17.927102053952854
0.5,4.0,100,0.15434369046466753,16.59343764593269
0.5,4.0,200,0.1263858266211851,19.008016246546
0.5,4.0,300,0.14293546313432284,18.144495763407473
0.5,4.0,400,0.21718582653998272,15.366724267663347
0.5,4.0,500,0.15235315576254202,15.516386448015824
0.5,4.0,600,0.2573043599386835,14.232255112569094
0.5,4.0,700,0.1735912356472377,16.252700084713684
0.5,4.0,800,0.15567804784272674,15.988071346457685
0.5,4.0,900,0.1783348328640136,17.406017814354197
1,1.0,100,0.023846536907283365,34.164183401474666
1,1.0,200,0.01750431027562851,33.13598576735795
1,1.0,300,0.01594985120242075,33.298391438931354
1,1.0,400,0.013840892441659319,33.65622058129441
1,1.0,500,0.016768273626846783,33.10335735827387
1,1.0,600,0.016775961768078124,33.58186830980642
1,1.0,700,0.0193208031787355,34.03192306663125
1,1.0,800,0.021631475276471416,33.06891235298211
1,1.0,900,0.01717301176502332,34.188367312473616
1,2.0,100,0.07463751270261705,25.025519759852926
1,2.0,200,0.08821918697502688,25.09282799550629
1,2.0,300,0.08714170774544763,21.852070780569115
1,2.0,400,0.050471284880174876,26.028947113031542
1,2.0,500,0.03501903411483032,29.64794868972999
1,2.0,600,0.05506825638872813,27.101829180546527
1,2.0,700,0.03684720050529151,31.75609056861049
1,2.0,800,0.07483797002101687,24.512691260012893
1,2.0,900,0.06650551344305936,29.216779518164813
1,3.0,100,0.1942867175404548,16.87249177744627
1,3.0,200,0.11859682294104584,28.87630331014716
1,3.0,300,0.1072965311958907,26.01215382396759
1,3.0,400,0.1156952534231615,22.80046858676622
1,3.0,500,0.17653509311208943,19.72925677209247
1,3.0,600,0.09572239214513303,23.210386845295083
1,3.0,700,0.10309773443765799,22.773064040184536
1,3.0,800,0.2095450535671532,22.171619461829795
1,3.0,900,0.10475905492717787,25.743320562769593
1,4.0,100,0.20903955392256166,18.45694022594099
1,4.0,200,0.19963755934014832,18.605524241367487
1,4.0,300,0.3099393865881433,20.20158842944383
1,4.0,400,0.2077661514590882,20.255453953424563
1,4.0,500,0.284790101361158,15.646947516282252
1,4.0,600,0.193419889594057,25.681835471709167
1,4.0,700,0.38067425098764696,16.717380375890997
1,4.0,800,0.14395337190425464,22.71053532313142
1,4.0,900,0.2487367312572112,16.785867070675735
2,1.0,100,0.03303957135586676,48.25103432705118
2,1.0,200,0.030492862803616738,49.82781774061482
2,1.0,300,0.02459114090005752,49.11732896332273
2,1.0,400,0.0369692849085739,49.76930707453232
2,1.0,500,0.018263374080479854,48.0565818173899
2,1.0,600,0.025296212589377066,44.16590713147178
2,1.0,700,0.027086834446689554,45.02809963491672
2,1.0,800,0.022459792576630187,51.52229013424327
2,1.0,900,0.029077419076297434,47.605453201573624
2,2.0,100,0.08476061181633235,41.00213212153108
2,2.0,200,0.09599666652474559,47.63624356765267
2,2.0,300,0.08234276405838191,38.69668169966463
2,2.0,400,0.07154697830101833,41.17455568235398
2,2.0,500,0.06782488863115174,50.29169586377046
2,2.0,600,0.050463823567036825,52.82107058218362
2,2.0,700,0.09020902941362609,40.01374434483457
2,2.0,800,0.1470679491678758,32.85343494724645
2,2.0,900,0.10994595761231857,32.15022360080982
2,3.0,100,0.327964192916099,34.38455269899503
2,3.0,200,0.22077295934753985,34.859049964756885
2,3.0,300,0.08849802132742743,46.323067355755576
2,3.0,400,0.0746137267348215,50.17565420843347
2,3.0,500,0.2691944961219417,25.933620848392906
2,3.0,600,0.2992398207523192,31.872040180883534
2,3.0,700,0.2528849569498798,45.463169873350616
2,3.0,800,0.24156750557592238,20.14225141443537
2,3.0,900,0.24713845609837298,33.54618520729267
2,4.0,100,0.1422759206346785,37.083817817273626
2,4.0,200,0.17800604541993154,36.37086007547225
2,4.0,300,0.07488489957026707,43.36712673906727
2,4.0,400,0.15745482195380145,30.03703492941294
2,4.0,500,0.3093411747272264,19.68663139494718
2,4.0,600,0.5932225169972145,28.992131483070057
2,4.0,700,0.236089987722411,26.209499418155623
2,4.0,800,0.23118877502761787,26.62009261232369
2,4.0,900,0.08884079988754842,43.81192091461442
4,1.0,100,0.0329676495891441,238.09686863223172
4,1.0,200,0.020616308648341,232.0490994552222
4,1.0,300,0.02654722518404622,262.6279031863845
4,1.0,400,0.02781679416925528,258.46543589364296
4,1.0,500,0.04866758061816857,238.83949042992438
4,1.0,600,0.03427801939682819,200.78805234637645
4,1.0,700,0.02494669616488846,259.06643500201915
4,1.0,800,0.04080591585797947,168.42995863914967
4,1.0,900,0.02658450518995204,211.8365088460971
4,2.0,100,0.039200972617904194,235.69591239188424
4,2.0,200,0.036383114878782055,256.54858932047256
4,2.0,300,0.03376245237874512,294.99465388641437
4,2.0,400,0.06481099958097614,271.40430645471656
4,2.0,500,0.06404012785133989,246.41000398645525
4,2.0,600,0.043500788723833984,255.89722789999962
4,2.0,700,0.08784681735651136,292.9133693119809
4,2.0,800,0.03580719400296726,280.6712450541609
4,2.0,900,0.0660630424976229,304.06309175645725
4,3.0,100,0.050206078402059644,251.83228880749826
4,3.0,200,0.29526489331233485,300.9120543196263
4,3.0,300,0.4399817944874291,320.88703888618585
4,3.0,400,0.15483373774591455,264.31331669986264
4,3.0,500,0.03880935513412933,394.88231058702917
4,3.0,600,0.04681460785286446,316.65982775573576
4,3.0,700,0.08711571053179187,511.6034404611965
4,3.0,800,0.15222833480928677,340.9762065066683
4,3.0,900,0.04573340366946735,276.9875825963975
4,4.0,100,0.14737933663359862,550.380782765791
4,4.0,200,0.0839453161078593,3035.4896025733465
4,4.0,300,0.15406957858478706,74432.36235810342
4,4.0,400,0.497079463079327,606.1615105703786
4,4.0,500,0.08419308024110317,1665.2665429336828
4,4.0,600,0.1797132397338466,11678.407614346828
4,4.0,700,0.35754638817438195,538063.5404849962
4,4.0,800,0.3662161173864422,4784.651143297137
4,4.0,900,0.073554978372866,841913.8981188233
